autopreencher,candidato,cobertura_pbev,criterio_match,erros,id,motivo,nivel_match,passou
True,HURACAN TECNICA,familia,conservador_por_familia,,huracan_sterrato,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: HURACAN; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível; acabamento divergente,alto,True
False,AVENTADOR,familia,aproximacao_com_observacao,,aventador_ano_distante,marca compatível; família comercial textual compatível: AVENTADOR; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível; ano distante (2021 x 2016); carroceria explícita da FIPE ausente no PBEV: CONVERSIVEL; há outro candidato PBEV próximo tecnicamente ambíguo; autofill bloqueado,medio,True
True,DURANGO LIMITED,familia,conservador_por_familia,,durango_fallback_familia,marca compatível; família comercial textual compatível: DURANGO; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível; ano PBEV próximo aceito por família técnica equivalente; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia; ano distante (2013 x 2015); acabamento divergente,alto,True
False,,ausente,sem_match,,ram_2500_sem_cobertura,Nenhum candidato PBEV confiável encontrado.,sem_match,True
False,,ausente,sem_match,,sf90_sem_cobertura,Nenhum candidato PBEV confiável encontrado. 4 candidato(s) foram bloqueados por status/flags.,sem_match,True
True,F8 SPIDER,exata,exato,,f8_spider_potencia_secundaria,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: F8; carroceria compatível; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível,alto,True
True,ROMA --,exata,exato,,ferrari_roma_potencia_secundaria,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ROMA; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível,alto,True
True,WEY 07,equivalente,versoes_equivalentes,,wey_07_versoes_equivalentes,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: WEY07; modelo/família compatível; PHEV/plugin compatível; motor compatível; candidato dominante por identidade técnica forte; candidatos próximos tecnicamente fracos não bloqueiam; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
True,XC40 T5 INSCRIPT T5 MOMENTUM T5 R-DESIGN,familia,conservador_por_familia,,volvo_xc40_composto,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: XC40; número/modelo compatível; modelo/família compatível; combustível gasolina compatível; motor compatível; candidatos próximos da mesma família resolvidos por critério conservador de consumo; acabamento divergente,alto,True
True,XC60 2.0 T5 INSCRIPTION / 2.0 T5 R-DESIGN,exata,exato,,volvo_xc60_composto,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: XC60; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; combustível gasolina compatível; versão/acabamento parcialmente compatível; motor compatível,alto,True
