candidato,criterio_match,id,marca,modelo_consulta,motivo,nivel_match,passou
UNO MILLE FIRE ECONOMY 2 PORTAS,versoes_equivalentes,2012 | FIAT | UNO | MILLE FIRE ECONOMY 2 PORTAS | 1 0 8V | M-5 | FLEX,FIAT,Uno Mille Fire Economy 2 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECONOMY, MILLE, UNO; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
CLIO CAMPUS 3 PORTAS,versoes_equivalentes,2012 | RENAULT | CLIO | CAMPUS 5 PORTAS | 1 0 16V | M-5 | FLEX,RENAULT,Clio Campus 5 Portas 1.0-16V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: CAMPUS, CLIO; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
C3 ORIGINE,exato,2012 | CITROEN | C3 | ORIGINE | 1 5 8V | M-5 | FLEX,CITROEN,C3 Origine 1.5-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: C3; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
C3 TENDANCE,exato,2012 | CITROEN | C3 | TENDANCE | 1 5 8V | M-5 | FLEX,CITROEN,C3 Tendance 1.5-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: C3; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
DS3 THP SPORT CHIC,exato,2012 | CITROEN | DS3 | THP SPORT CHIC | 1 6 16V | M-6 | GASOLINA,CITROEN,DS3 THP Sport Chic 1.6-16V M-6,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: DS3; designação comercial exata; modelo/família compatível; combustível gasolina compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
SIENA FIRE,exato,2012 | FIAT | SIENA | FIRE | 1 0 8V | M-5 | FLEX,FIAT,Siena Fire 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: SIENA; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
SIENA EL,exato,2012 | FIAT | SIENA | EL | 1 0 8V | M-5 | FLEX,FIAT,Siena EL 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: SIENA; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
SIENA EL,exato,2012 | FIAT | SIENA | EL | 1 4 8V | M-5 | FLEX,FIAT,Siena EL 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: SIENA; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
NOVO PALIO ATTRACTIVE,exato,2012 | FIAT | NOVO PALIO | ATTRACTIVE | 1 0 8V | M-5 | FLEX,FIAT,Novo Palio Attractive 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ATTRACTIVE, PALIO; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível",alto,True
NOVO PALIO ATTRACTIVE,exato,2012 | FIAT | NOVO PALIO | ATTRACTIVE | 1 4 8V | M-5 | FLEX,FIAT,Novo Palio Attractive 1.4-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ATTRACTIVE, PALIO; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível",alto,True
FIT DX,exato,2012 | HONDA | FIT | DX | 1 4 16V | M-5 | FLEX,HONDA,Fit DX 1.4-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT LX,exato,2012 | HONDA | FIT | LX | 1 4 16V | M-5 | FLEX,HONDA,Fit LX 1.4-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT LXL,exato,2012 | HONDA | FIT | LXL | 1 4 16V | M-5 | FLEX,HONDA,Fit LXL 1.4-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT DX,exato,2012 | HONDA | FIT | DX | 1 4 16V | A-5 | FLEX,HONDA,Fit DX 1.4-16V A-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT LX,exato,2012 | HONDA | FIT | LX | 1 4 16V | A-5 | FLEX,HONDA,Fit LX 1.4-16V A-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT LXL,exato,2012 | HONDA | FIT | LXL | 1 4 16V | A-5 | FLEX,HONDA,Fit LXL 1.4-16V A-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT EX,exato,2012 | HONDA | FIT | EX | 1 5 16V | M-5 | FLEX,HONDA,Fit EX 1.5-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
FIT EX,exato,2012 | HONDA | FIT | EX | 1 5 16V | A-5 | FLEX,HONDA,Fit EX 1.5-16V A-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: FIT; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 COMFORT,exato,2012 | HYUNDAI | HB20 | COMFORT | 1 0 12V | M-5 | FLEX,HYUNDAI,HB20 Comfort 1.0-12V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 COMFORT PLUS,exato,2012 | HYUNDAI | HB20 | COMFORT PLUS | 1 0 12V | M-5 | FLEX,HYUNDAI,HB20 Comfort Plus 1.0-12V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 COMFORT STYLE,exato,2012 | HYUNDAI | HB20 | COMFORT STYLE | 1 0 12V | M-5 | FLEX,HYUNDAI,HB20 Comfort Style 1.0-12V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 COMFORT,exato,2012 | HYUNDAI | HB20 | COMFORT | 1 6 16V | M-5 | FLEX,HYUNDAI,HB20 Comfort 1.6-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 COMFORT PLUS,exato,2012 | HYUNDAI | HB20 | COMFORT PLUS | 1 6 16V | M-5 | FLEX,HYUNDAI,HB20 Comfort Plus 1.6-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 COMFORT STYLE,exato,2012 | HYUNDAI | HB20 | COMFORT STYLE | 1 6 16V | M-5 | FLEX,HYUNDAI,HB20 Comfort Style 1.6-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
HB20 PREMIUM,exato,2012 | HYUNDAI | HB20 | PREMIUM | 1 6 16V | M-5 | FLEX,HYUNDAI,HB20 Premium 1.6-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: HB20; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
207 HB BLUE LION 5 PORTAS,exato,2012 | PEUGEOT | 207 HB BLUE LION | 5 PORTAS | 1 4 8V | M-5 | FLEX,PEUGEOT,207 HB Blue Lion 5 Portas 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
207 HB XR 3 PORTAS,versoes_equivalentes,2012 | PEUGEOT | 207 HB | XR 3 PORTAS | 1 4 8V | M-5 | FLEX,PEUGEOT,207 HB XR 3 Portas 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
207 HB XR 3 PORTAS,versoes_equivalentes,2012 | PEUGEOT | 207 HB | XR 5 PORTAS | 1 4 8V | M-5 | FLEX,PEUGEOT,207 HB XR 5 Portas 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
207 HB XR S 5 PORTAS,exato,2012 | PEUGEOT | 207 HB | XR S 5 PORTAS | 1 4 8V | M-5 | FLEX,PEUGEOT,207 HB XR S 5 Portas 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
207 PASSION XR,exato,2012 | PEUGEOT | 207 PASSION | XR | 1 4 8V | M-5 | FLEX,PEUGEOT,207 Passion XR 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
207 PASSION XR S,exato,2012 | PEUGEOT | 207 PASSION | XR S | 1 4 8V | M-5 | FLEX,PEUGEOT,207 Passion XR S 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
207 SW XR,exato,2012 | PEUGEOT | 207 SW | XR | 1 4 8V | M-5 | FLEX,PEUGEOT,207 SW XR 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; carroceria compatível; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
207 SW XR S,exato,2012 | PEUGEOT | 207 SW | XR S | 1 4 8V | M-5 | FLEX,PEUGEOT,207 SW XR S 1.4-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: 207; carroceria compatível; designação comercial exata; número/modelo compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
SANDERO AUTHENTIQUE,exato,2012 | RENAULT | SANDERO | AUTHENTIQUE | 1 0 16V | M-5 | FLEX,RENAULT,Sandero Authentique 1.0-16V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: AUTHENTIQUE, SANDERO; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível",alto,True
SANDERO EXPRESSION,exato,2012 | RENAULT | SANDERO | EXPRESSION | 1 0 16V | M-5 | FLEX,RENAULT,Sandero Expression 1.0-16V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: EXPRESSION, SANDERO; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível",alto,True
ETIOS HB 1.3,versoes_equivalentes,2012 | TOYOTA | ETIOS HB | 1 3 | 1 3 16V | M-5 | FLEX,TOYOTA,Etios HB 1.3 1.3-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ETIOS; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
ETIOS HB 1.3,versoes_equivalentes,2012 | TOYOTA | ETIOS HB | X | 1 3 16V | M-5 | FLEX,TOYOTA,Etios HB X 1.3-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ETIOS; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
ETIOS HB XS,exato,2012 | TOYOTA | ETIOS HB | XS | 1 3 16V | M-5 | FLEX,TOYOTA,Etios HB XS 1.3-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ETIOS; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
ETIOS HB XLS,exato,2012 | TOYOTA | ETIOS HB | XLS | 1 5 16V | M-5 | FLEX,TOYOTA,Etios HB XLS 1.5-16V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ETIOS; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,True
GOL ECOMOTION 2 PORTAS,versoes_equivalentes,2012 | VOLKSWAGEN | GOL ECOMOTION | 2 PORTAS | 1 0 8V | M-5 | FLEX,VOLKSWAGEN,Gol Ecomotion 2 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECOMOTION, GOL; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
GOL ECOMOTION 2 PORTAS,versoes_equivalentes,2012 | VOLKSWAGEN | GOL ECOMOTION | 4 PORTAS | 1 0 8V | M-5 | FLEX,VOLKSWAGEN,Gol Ecomotion 4 Portas 1.0-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ECOMOTION, GOL; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
GOL G4 2 PORTAS,versoes_equivalentes,2012 | VOLKSWAGEN | GOL G4 | 2 PORTAS | 1 0 8V | M-5 | FLEX,VOLKSWAGEN,Gol G4 2 Portas 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: G4; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
GOL G4 2 PORTAS,versoes_equivalentes,2012 | VOLKSWAGEN | GOL G4 | 4 PORTAS | 1 0 8V | M-5 | FLEX,VOLKSWAGEN,Gol G4 4 Portas 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: G4; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
GOL 1.0,exato,2012 | VOLKSWAGEN | GOL | 1 0 | 1 0 8V | M-5 | FLEX,VOLKSWAGEN,Gol 1.0 1.0-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: GOL; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível,alto,True
GOL 1.6,versoes_equivalentes,2012 | VOLKSWAGEN | GOL | 1 6 | 1 6 8V | M-5 | FLEX,VOLKSWAGEN,Gol 1.6 1.6-8V M-5,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: GOL; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia,alto,True
GOL POWER,versoes_equivalentes,2012 | VOLKSWAGEN | GOL | POWER | 1 6 8V | M-5 | FLEX,VOLKSWAGEN,Gol Power 1.6-8V M-5,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: GOL, POWER; designação comercial exata; modelo/família compatível; combustível flex compatível; motor compatível; transmissão compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,True
