ambiguidade_proxima,ano_tabela_pbev,autopreencher,busca_resgate_acionada,candidato,candidatos_busca_principal,candidatos_busca_resgate,cobertura_pbev,consumo_eletrico_kwh_km,contrato_localizacao_ou_ausencia_atendido,criterio_match,descartados_prefiltro_identidade,dominante,erros,etanol_cidade_km_l,gasolina_cidade_km_l,gasolina_diesel_cidade_km_l,id,id_pbev,identidade_tecnica_forte,motivo,nivel_match,origem,registros_avaliados_marca,registros_marca,score,score_bruto,status_execucao,status_v45,tecnica_suficiente_para_consumo,tipo_consumo,tokens_fortes_fipe,tokens_fortes_pbev
False,2022,True,False,F8 SPIDER,6,51,exata,,True,exato,0,True,[],,5.6,,f8_spider_potencia_secundaria,PBEV-2022-0741,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: F8; carroceria compatível; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível,alto,regressao_v42_homologada,6,57,100.0,167.0,APROVADO,regressao_protegida,True,gasolina,"[""F8""]","[""F8""]"
False,2024,True,False,ROMA --,5,52,exata,,True,exato,0,True,[],,6.9,,ferrari_roma_potencia_secundaria,PBEV-2024-0980,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: ROMA; designação comercial exata; modelo/família compatível; combustível gasolina compatível; motor compatível,alto,regressao_v42_homologada,5,57,100.0,151.0,APROVADO,regressao_protegida,True,gasolina,[],[]
False,2026,True,False,WEY 07 DARK ED.,3,55,exata,0.230556,True,exato,0,True,[],,,10.8,wey_07_versoes_equivalentes,PBEV-2026-0472,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: WEY07; designação comercial parcialmente compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento parcialmente compatível; motor compatível,alto,regressao_v42_homologada,3,58,100.0,160.67,APROVADO,regressao_protegida,True,phev,"[""WEY07""]","[""WEY07""]"
False,2018,True,False,XC40 T5 INSCRIPT T5 MOMENTUM T5 R-DESIGN,56,592,familia,,True,conservador_por_familia,0,True,[],,8.5,,volvo_xc40_composto,PBEV-2018-0449,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: XC40; número/modelo compatível; modelo/família compatível; combustível gasolina compatível; motor compatível; candidatos próximos da mesma família resolvidos por critério conservador de consumo,alto,regressao_v42_homologada,56,648,100.0,142.65,APROVADO,regressao_protegida,True,gasolina,"[""XC40""]","[""T5"", ""XC40""]"
False,2017,True,False,XC60 2.0 T5 INSCRIPTION / 2.0 T5 R-DESIGN,148,500,exata,,True,exato,0,True,[],,8.0,,volvo_xc60_composto,PBEV-2017-0453,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: XC60; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; combustível gasolina compatível; versão/acabamento parcialmente compatível; motor compatível,alto,regressao_v42_homologada,148,648,100.0,153.0,APROVADO,regressao_protegida,True,gasolina,"[""XC60""]","[""T5"", ""XC60""]"
False,2026,True,False,CRETA COMFORT,67,416,exata,,True,exato,0,True,[],8.4,12.0,,hyundai_creta_comfort_tb12v_zero_km,PBEV-2026-0386,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: CRETA; designação comercial exata; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão compatível; turbo compatível,alto,diagnostico_usuario_v38_6,67,483,100.0,180.0,APROVADO,lacuna_corrigida_etapa2,True,flex,[],[]
False,2024,True,False,YARIS HATCHBACK XLS (MY 2024),59,448,familia,,True,conservador_por_familia,0,True,[],8.7,12.2,,toyota_yaris_xls_zero_km,PBEV-2024-0149,True,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: YARIS; designação comercial parcialmente compatível; modelo/família compatível; combustível flex compatível; versão/acabamento compatível; motor compatível; transmissão automática/CVT compatível; candidatos próximos da mesma família resolvidos por critério conservador de consumo,alto,caso_obrigatorio_v45,59,507,100.0,159.0,APROVADO,regressao_ampliada_etapa2,True,flex,[],[]
False,2026,True,False,COROLLA CROSS XRX HYBRID,127,380,exata,,True,exato,0,True,[],11.6,16.6,,toyota_corolla_cross_hybrid,PBEV-2026-0194,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: COROLLA; carroceria compatível; designação comercial exata; modelo/família compatível; híbrido convencional compatível; versão/acabamento compatível; motor compatível; transmissão automática/CVT compatível,alto,caso_obrigatorio_v45,127,507,100.0,183.0,APROVADO,regressao_ampliada_etapa2,True,hibrido_flex,[],[]
False,2025,True,False,DOLPHIN MINI GL5EV,16,64,exata,0.108333,True,exato,0,True,[],,,,byd_dolphin_mini,PBEV-2025-0003,True,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: DOLPHIN; designação comercial parcialmente compatível; modelo/família compatível; propulsão elétrica compatível; versão/acabamento compatível,alto,caso_obrigatorio_v45,16,80,100.0,141.0,APROVADO,regressao_ampliada_etapa2,True,eletrico,[],"[""GL5""]"
False,2026,True,False,TAN AWD GS 700EV,6,74,familia,0.202778,True,conservador_por_familia,0,True,[],,,,byd_tan_ev_4x4,PBEV-2026-0245,False,marca compatível; zero km FIPE: ano PBEV mais recente compatível priorizado; família comercial textual compatível: TAN; modelo/família compatível; propulsão elétrica compatível; tração compatível; acabamento divergente,alto,caso_obrigatorio_v45,6,80,100.0,112.0,APROVADO,regressao_ampliada_etapa2,True,eletrico,[],"[""700EV""]"
False,2026,True,False,HILUX DIESEL 4X4 AT SRV AT,124,383,exata,,True,exato,0,True,[],,,,toyota_hilux_srv_tdi16v,PBEV-2026-0826,True,"marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: HILUX, SRV; designação comercial exata; modelo/família compatível; combustível diesel compatível; versão/acabamento compatível; motor compatível; transmissão compatível; tração compatível",alto,caso_obrigatorio_v45,124,507,100.0,181.0,APROVADO,lacuna_corrigida_etapa2,True,diesel,[],[]
False,2026,True,False,E2008 GT,4,315,exata,0.152778,True,exato,0,True,[],,,,peugeot_e2008_gt,PBEV-2026-0106,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: E2008; designação comercial exata; número/modelo compatível; modelo/família compatível; propulsão elétrica compatível,alto,caso_obrigatorio_v45,4,319,100.0,147.0,APROVADO,regressao_ampliada_etapa2,True,eletrico,"[""E2008""]","[""E2008""]"
False,2026,True,False,12CILINDRI SPI,2,55,exata,,True,exato,0,True,[],,4.6,,ferrari_12cilindri_spider,PBEV-2026-0842,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; família comercial textual compatível: 12CILINDRI; carroceria compatível; designação comercial parcialmente compatível; modelo/família compatível; combustível gasolina compatível; motor compatível; transmissão compatível,alto,caso_obrigatorio_v45,2,57,100.0,155.0,APROVADO,lacuna_corrigida_etapa2,True,gasolina,[],[]
False,2026,True,False,XC90 T8 AWD ULTD,199,449,equivalente,0.244444,True,versoes_equivalentes,0,True,[],,,9.4,volvo_xc90_t8_ultra_dark,PBEV-2026-0580,True,"marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: T8, XC90; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento parcialmente compatível; motor compatível; transmissão compatível; tração compatível; candidatos próximos têm o mesmo consumo aplicável; ambiguidade não bloqueia",alto,caso_obrigatorio_v45,199,648,100.0,170.67,APROVADO,regressao_ampliada_etapa2,True,phev,"[""T8"", ""XC90""]","[""T8"", ""XC90""]"
False,2024,True,False,XC60 T8 ULT DARK,148,500,exata,0.205556,True,exato,0,True,[],,,11.1,volvo_xc60_t8_ultimate_dark_my24,PBEV-2024-0612,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; token forte de modelo compatível: XC60; designação comercial parcialmente compatível; número/modelo compatível; modelo/família compatível; PHEV/plugin compatível; versão/acabamento parcialmente compatível; motor compatível,alto,caso_obrigatorio_v45,148,648,100.0,160.67,APROVADO,lacuna_corrigida_etapa2,True,phev,"[""XC60""]","[""T8"", ""XC60""]"
False,2026,True,True,7 PRESTIGE,0,4,exata,0.166667,True,exato,0,True,[],,,15.1,jaecoo_7_prestige,PBEV-2026-0160,True,marca compatível; ano PBEV igual ao ano-modelo FIPE; modelo/família compatível; PHEV/plugin compatível; versão/acabamento compatível; motor compatível; transmissão compatível,alto,caso_obrigatorio_v45,4,4,100.0,129.0,APROVADO,regressao_ampliada_etapa2,True,phev,[],[]
